Topic_no,Keywords,Contrib,System,Text
16,"pull_request, differential_revision, resolve, fbshipit_source, rocksdb, plan, error, build, flag, time, status, summary, test, might_cause, build_release, summary_dynamically, linking_two, errors_provide, jtest_try, flag_overridden",0.0556,frostwire,[desktop] syntax error/
,,0.0738,jna,fix build on w32/check more thoroughly for unanticipated exceptions/properly propagate exceptions through native code/fix MSVC dll callbacks build (mingw64 required)/fix build for MSVC express 10/
,,0.0599,jna,fix build on w32/
,,0.0577,jna,fix javadoc errors/
,,0.0891,jna,add gc before sleep to see if intermittent failures are decreased./Attempt to fix intermittent unload test failure./
,,0.0639,jna,add more NativeMapped tests (IntegerType) to validate issue
,,0.0556,jna,fix javadoc errors/
,,0.0556,jna,fix javadoc errors/
,,0.0556,jna,fix javadoc errors/
,,0.0673,OpenDDS,Resolve Coverity issues 990925-990931/
,,0.0652,OpenDDS,Resolve Coverity issues 990925-990931/
,,0.0566,OpenDDS,Fix build errors./
,,0.0556,OpenDDS,Fix logging for w_char builds/
,,0.0556,OpenDDS,Fix logging for w_char builds/
,,0.0599,OpenDDS,Fix logging for w_char builds/
,,0.0599,OpenDDS,Fix logging for w_char builds/
,,0.0556,OpenDDS,Fix logging for w_char builds/
,,0.0974,OpenDDS,Avoid implicit conversion from pointer to RcHandle/Merge pull request from huangminghuang/fix_rtps_udp_datalink_lock Fixed the missing lock in RtpsUpdDataLink which causes Segfault in soÖ/Fixed the missing lock in RtpsUpdDataLink which causes Sigfault in some tests./
,,0.063,OpenDDS,Fix missing include/
,,0.0648,OpenDDS,Attempting to fix the intermittent LivelinessTimeout test failure/
,,0.0669,OpenDDS,Attempting to fix the intermittent LivelinessTimeout test failure/
,,0.0689,OpenDDS,Attempting to fix the intermittent LivelinessTimeout test failure/
,,0.073,OpenDDS,resolving pull request feedback issues/
,,0.0618,OpenDDS,Throw an error and fail if we see both a and a
,,0.0919,OpenDDS,Merge pull request from objectcomputing/resolve_manualassertliveliness_and_lifespan_intermittent_failures Resolve manualassertliveliness and lifespan intermittent failures/add reliability qos to lifespan test datareader to fix intermittent failure/
,,0.0763,OpenDDS,"resolving PR comments, fixing valgrind issue/adding header for debug build/"
,,0.0665,OpenDDS,"resolving PR comments, fixing valgrind issue/"
,,0.0974,realm-java,SyncCredentials.accessToken + Integration tests (#4018) This PR adds support for SyncCredentials.accessToken() which is required for I also found a number of issues with the integration tests. They have been fixed as well./
,,0.0636,realm-java,Fix RealmCollection.contains not respecting custom equal methods (#4111)/
,,0.0993,realm-java,SyncCredentials.accessToken + Integration tests (#4018) This PR adds support for SyncCredentials.accessToken() which is required for I also found a number of issues with the integration tests. They have been fixed as well./
,,0.0985,realm-java,SyncCredentials.accessToken + Integration tests (#4018) This PR adds support for SyncCredentials.accessToken() which is required for I also found a number of issues with the integration tests. They have been fixed as well./Merge pull request from realm/merge-71855f-to-master Fix merge from 71855f to master/Ignore exceptions (#4028) * Ignore exceptions/
,,0.1011,realm-java,SyncCredentials.accessToken + Integration tests (#4018) This PR adds support for SyncCredentials.accessToken() which is required for I also found a number of issues with the integration tests. They have been fixed as well./
,,0.1029,realm-java,SyncCredentials.accessToken + Integration tests (#4018) This PR adds support for SyncCredentials.accessToken() which is required for I also found a number of issues with the integration tests. They have been fixed as well./
,,0.0726,realm-java,Add an overloaded 2 arg usernamePassword method that defaults createUser false Change the order of args for the custom method to match the iOS call Add unit tests as appropriate Fixes
,,0.0993,realm-java,SyncCredentials.accessToken + Integration tests (#4018) This PR adds support for SyncCredentials.accessToken() which is required for I also found a number of issues with the integration tests. They have been fixed as well./
,,0.1102,realm-java,SyncCredentials.accessToken + Integration tests (#4018) This PR adds support for SyncCredentials.accessToken() which is required for I also found a number of issues with the integration tests. They have been fixed as well./
,,0.1164,realm-java,SyncCredentials.accessToken + Integration tests (#4018) This PR adds support for SyncCredentials.accessToken() which is required for I also found a number of issues with the integration tests. They have been fixed as well./Add an overloaded 2 arg usernamePassword method that defaults createUser false Change the order of args for the custom method to match the iOS call Add unit tests as appropriate Fixes
,,0.0786,realm-java,PermissionManager should ignore intermittent errors (#6506)/
,,0.063,realm-java,Fix crash if combining and (#6582)/
,,0.0577,rocksdb,Build fix with merge_test and ttl/
